"geographicAreaM49","geographicAreaM49_description","timePointYears","aquastatElement","aquastatElement_description","Value","expression","flagObservationStatus","flagMethod"
"4","Afghanistan","2016","4318","Area equipped for irrigation: actually irrigated [1000 ha]",2165,"Value_4318<=Value_4313","","p"
"4","Afghanistan","2016","4320","Area equipped for irrigation by groundwater [1000 ha]",577.2,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","2016","4321","Area equipped for irrigation by surface water [1000 ha]",2631,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","2017","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","2017","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4318<=Value_4313","E","i"
"4","Afghanistan","2017","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","2017","4318","Area equipped for irrigation: actually irrigated [1000 ha]",2165,"Value_4318<=Value_4313","I","e"
"4","Afghanistan","2017","4320","Area equipped for irrigation by groundwater [1000 ha]",577.2,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","2017","4321","Area equipped for irrigation by surface water [1000 ha]",2631,"Value_4311>=Value_4321","I","e"
"4","Afghanistan","2018","4311","Area equipped for full control irrigation: total [1000 ha]",0,"Value_4311>=Value_4321","E","i"
"4","Afghanistan","2018","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4318<=Value_4313","E","i"
"4","Afghanistan","2018","4313","Area equipped for irrigation: total [1000 ha]",0,"Value_4320/Value_4313<= 0.7","E","i"
"4","Afghanistan","2018","4318","Area equipped for irrigation: actually irrigated [1000 ha]",2165,"Value_4318<=Value_4313","I","e"
"4","Afghanistan","2018","4320","Area equipped for irrigation by groundwater [1000 ha]",577.2,"Value_4320/Value_4313<= 0.7","I","e"
"4","Afghanistan","2018","4321","Area equipped for irrigation by surface water [1000 ha]",2631,"Value_4311>=Value_4321","I","e"
