lement_code,element_name,disseminated,calculated,Source,source
4330,% of irrigation potential equipped for irrigation,D,C,C,DERIVED
4331,% of the cultivated area equipped for irrigation,D,C,C,DERIVED
4332,Total area of small irrigation schemes,I,V,A,AQUASTAT
4333,Total area of medium irrigation schemes,I,V,A,AQUASTAT
4334,Total area of large irrigation schemes,I,V,A,AQUASTAT
4335,Average cost of irrigation development in public schemes,I,V,A,AQUASTAT
4336,Average cost of operation and maintenance in public schemes,I,V,A,AQUASTAT
4337,Average cost of drainage development in public schemes,I,V,A,AQUASTAT
4338,Average cost of irrigation rehabilitation in public schemes,I,V,A,AQUASTAT
4339,Average cost of irrigation development in private schemes,I,V,A,AQUASTAT
4340,Average cost of operation and maintenance cost in private schemes,I,V,A,AQUASTAT
4341,Average cost of drainage development in private schemes,I,V,A,AQUASTAT
4342,Average cost of irrigation rehabilitation in private schemes,I,V,A,AQUASTAT
4343,Average cost of installation of sprinkler irrigation: on farm,I,V,A,AQUASTAT
4344,Average cost of installation of localized irrigation: on farm,I,V,A,AQUASTAT
4345,Harvested irrigated temporary crop area: Wheat,D,V,A,AQUASTAT
4346,Harvested irrigated temporary crop area: Rice,D,V,A,AQUASTAT
4347,Harvested irrigated temporary crop area: Barley,D,V,A,AQUASTAT
4348,Harvested irrigated temporary crop area: Maize,D,V,A,AQUASTAT
4349,Harvested irrigated temporary crop area: Millet,D,V,A,AQUASTAT
4350,Harvested irrigated temporary crop area: Sorghum,D,V,A,AQUASTAT
4351,Harvested irrigated temporary crop area: Other cereals,D,V,A,AQUASTAT
4352,Harvested irrigated temporary crop area: Potatoes,D,V,A,AQUASTAT
4353,Harvested irrigated temporary crop area: Sweet Potatoes,D,V,A,AQUASTAT
4354,Harvested irrigated temporary crop area: Cassava,D,V,A,AQUASTAT
4355,Harvested irrigated temporary crop area: Other roots and tubers,D,V,A,AQUASTAT
4356,Harvested irrigated permanent crop area: Plantains,D,V,A,AQUASTAT
4357,Harvested irrigated temporary crop area: Sugarcane,D,V,A,AQUASTAT
4358,Harvested irrigated temporary crop area: Sugar beet,D,V,A,AQUASTAT
4359,Harvested irrigated temporary crop area: Leguminous crops,D,V,A,AQUASTAT
4360,Harvested irrigated temporary crop area: Vegetables,D,V,A,AQUASTAT
4361,Harvested irrigated permanent crop area: Bananas,D,V,A,AQUASTAT
4362,Harvested irrigated permanent crop area: Citrus,D,V,A,AQUASTAT
4363,Harvested irrigated permanent crop area: Cocoa beans,D,V,A,AQUASTAT
4364,Harvested irrigated permanent crop area: Coffee,D,V,A,AQUASTAT
4365,Harvested irrigated permanent crop area: Tea,D,V,A,AQUASTAT
4366,Harvested irrigated temporary crop area: tobacco,D,V,A,AQUASTAT
4367,Harvested irrigated temporary crop area: Cotton,D,V,A,AQUASTAT
4368,Harvested irrigated permanent crop area: Rubber,D,V,A,AQUASTAT
4369,Harvested irrigated temporary crop area: Fodder,D,V,A,AQUASTAT
4370,Harvested irrigated permanent crop area: Oil palm,D,V,A,AQUASTAT
4371,Harvested irrigated temporary crop area: Soybeans,D,V,A,AQUASTAT
4372,Harvested irrigated temporary crop area: Groundnuts,D,V,A,AQUASTAT
4373,Harvested irrigated temporary crop area: Sunflower,D,V,A,AQUASTAT
4374,Harvested irrigated temporary crop area: Sesame,D,V,A,AQUASTAT
