element_code,element_name,disseminated,calculated,source,lta,pr
4314,Flood recession cropping area non-equipped,D,V,AQUASTAT,0,1
4315,Cultivated wetlands and inland valley bottoms non-equipped,D,V,AQUASTAT,0,1
4316,Area equipped for irrigation: spate irrigation,D,V,AQUASTAT,0,1
4317,Total agricultural water managed area,D,C,DERIVED,0,0
4318,Area equipped for irrigation: actually irrigated,D,V,AQUASTAT,0,0
4319,% of agricultural water managed area equipped for irrigation,D,C,DERIVED,0,0
4320,Area equipped for irrigation by groundwater,D,V,AQUASTAT,0,0
4321,Area equipped for irrigation by surface water,D,V,AQUASTAT,0,0
4322,Area equipped for irrigation by mixed surface water and groundwater,D,V,AQUASTAT,0,0
4323,% of area equipped for irrigation by groundwater,D,C,DERIVED,0,0
4324,% of area equipped for irrigation by surface water,D,C,DERIVED,0,0
4325,% of area equipped for irrigation by mixed surface water and groundwater,D,C,DERIVED,0,0
4326,Area equipped for power irrigation (surface water or groundwater),D,V,AQUASTAT,0,0
4327,% of area equipped for irrigation power irrigated,D,C,DERIVED,0,0
4328,% of the area equipped for irrigation actually irrigated,D,C,DERIVED,0,0
4329,% of total grain production irrigated,D,V,AQUASTAT,0,0
4330,% of irrigation potential equipped for irrigation,D,C,DERIVED,0,0
4331,% of the cultivated area equipped for irrigation,D,C,DERIVED,0,0
4332,Total area of small irrigation schemes,I,V,AQUASTAT,0,0
4333,Total area of medium irrigation schemes,I,V,AQUASTAT,0,0
4334,Total area of large irrigation schemes,I,V,AQUASTAT,0,0
4335,Average cost of irrigation development in public schemes,I,V,AQUASTAT,0,0
4336,Average cost of operation and maintenance in public schemes,I,V,AQUASTAT,0,0
4337,Average cost of drainage development in public schemes,I,V,AQUASTAT,0,0
4338,Average cost of irrigation rehabilitation in public schemes,I,V,AQUASTAT,0,0
4339,Average cost of irrigation development in private schemes,I,V,AQUASTAT,0,0
4340,Average cost of operation and maintenance cost in private schemes,I,V,AQUASTAT,0,0
4341,Average cost of drainage development in private schemes,I,V,AQUASTAT,0,0
4342,Average cost of irrigation rehabilitation in private schemes,I,V,AQUASTAT,0,0
4343,Average cost of installation of sprinkler irrigation: on farm,I,V,AQUASTAT,0,0
